Day,Time,Group,Food Name,Amount,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Category
2023-09-17,,"Staples","Brussels Sprouts, Cooked from Frozen","73.82 g",31.01,4.50,64.03,0.08,0.08,0.40,0.25,0.21,0.00,0.00,409.72,0.00,13.36,74.56,1137.63,0.00,34.14,33.74,0.00,0.38,142.85,19.19,0.03,0.37,0.35,13.29,0.15,41.34,214.09,0.44,11.07,0.18,6.14,3.03,0.58,0.45,0.30,1.54,3.06,0.29,0.00,0.02,0.15,0.06,0.00,0.10,0.00,0.09,0.16,0.26,0.02,0.62,0.06,0.06,,0.11,0.12,0.12,0.03,0.08,0.10,2.69,0.11,0.10,0.03,0.04,0.12,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Carrots, Cooked From Frozen","73.82 g",27.31,13.58,66.68,0.02,0.03,0.31,0.13,0.06,0.00,2743.30,6052.83,146.91,6.35,8.12,499.05,0.00,624.83,1.70,0.00,0.60,10.04,25.84,0.06,,0.39,8.12,0.12,22.89,141.74,0.44,43.56,0.26,5.71,2.44,0.21,0.23,2.54,3.01,3.10,0.50,0.00,0.02,0.25,0.09,0.00,0.03,0.00,0.05,0.04,0.09,0.04,0.17,0.02,0.02,,0.04,0.05,0.05,0.01,0.03,0.03,0.43,0.03,0.09,0.01,0.02,0.03,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Kale, Cooked from Frozen","147.51 g",53.11,2.51,132.50,0.09,0.21,0.67,0.25,0.09,0.00,14.75,2553.48,38.35,0.74,95.88,7350.65,0.00,215.00,26.26,0.00,2.37,617.35,221.27,0.10,,1.24,36.88,0.80,61.96,212.42,1.48,23.60,0.40,7.82,3.39,0.62,0.43,0.37,1.78,4.30,1.78,0.00,0.14,0.88,0.23,0.00,0.50,0.38,0.22,0.24,0.39,0.06,0.49,0.21,0.25,,0.26,0.30,0.26,0.04,0.22,0.26,4.34,0.18,0.19,0.05,0.15,0.24,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Green Bell Peppers, Raw","22.77 g",4.55,2.57,21.37,0.01,0.01,0.11,0.02,0.05,0.00,4.78,47.35,1.59,1.25,2.28,77.63,0.00,4.21,18.30,0.00,0.02,1.62,2.28,0.02,0.09,0.08,2.28,0.03,4.55,39.84,0.00,0.68,0.03,1.06,0.39,0.25,0.00,0.03,0.55,0.66,0.04,0.00,0.00,0.01,0.01,0.00,0.00,0.00,0.01,0.01,0.05,0.00,0.04,0.01,0.00,,0.01,0.01,0.01,0.00,0.02,0.01,0.20,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Yellow Bell Pepper, Raw","22.77 g",6.15,2.57,20.95,0.01,0.01,0.20,0.04,0.04,0.00,29.82,27.32,0.00,1.27,5.92,175.29,0.00,3.52,41.77,0.00,0.08,0.54,2.50,0.02,,0.10,2.73,0.03,5.46,48.26,0.07,0.46,0.04,1.44,0.20,0.70,0.00,0.00,1.19,1.22,0.05,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.01,0.03,0.00,0.03,0.01,0.00,,0.01,0.01,0.01,0.00,0.01,0.01,0.23,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Red Bell Peppers, Raw","27.97 g",7.27,1.23,25.79,0.02,0.02,0.27,0.09,0.08,0.00,5.59,454.21,137.05,1.57,12.87,14.26,416.17,43.79,35.72,0.00,0.44,1.37,1.96,0.00,,0.12,3.36,0.03,7.27,59.01,0.03,1.12,0.07,1.69,0.59,0.63,0.00,0.00,1.17,1.08,0.08,0.00,0.00,0.04,0.02,0.00,0.02,0.00,0.01,0.01,0.08,0.01,0.06,0.01,0.00,,0.01,0.01,0.01,0.00,0.01,0.01,0.28,0.01,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-09-17,,"Staples","Michaels of Brooklyn, Marinara Sauce","294.00 g",100.92,30.38,267.53,0.13,0.08,1.84,0.33,0.36,0.00,273.88,1483.49,2.14,21.81,52.27,740.76,6966.20,135.13,43.74,0.00,2.41,90.59,89.82,0.22,0.82,1.98,41.86,0.63,86.28,731.68,1.45,678.64,0.69,15.39,4.51,3.78,2.89,0.06,7.33,10.85,4.19,0.00,2.64,0.66,0.60,0.01,0.06,0.38,0.11,0.14,0.46,0.03,1.29,0.09,0.06,,0.09,0.13,0.12,0.03,0.11,0.10,3.38,0.10,0.10,0.03,0.06,0.10,""
2023-09-17,9:01 PM,"Supplements","Canned Beets","0.00 Can",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2023-09-17,5:09 PM,"Supplements","Lone Star Bee Lime Honey","0.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2023-09-17,,"Supplements","Blueberries, Frozen, Unsweetened","0.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2023-09-17,,"Supplements","Walnuts","0.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Nut and Seed Products"
2023-09-17,,"Supplements","Mango, frozen","0.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2023-09-17,,"Supplements","Calorie","800.00 1",800.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-09-17,,"Supplements","Protein","40.00 1",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,40.00,,,,,,""
2023-09-17,,"Supplements","Strawberries, Frozen, Unsweetened","290.00 g",101.50,13.05,260.91,0.06,0.11,1.34,0.31,0.08,0.00,0.00,78.30,0.00,16.53,49.30,75.40,0.00,6.52,119.48,0.00,0.84,6.38,46.40,0.14,1.16,2.18,31.90,0.84,37.70,429.20,2.03,5.80,0.38,26.48,6.09,6.29,0.00,1.07,13.22,19.76,0.32,0.00,0.04,0.16,0.02,0.00,0.07,0.09,0.06,0.05,0.28,0.01,0.18,0.05,0.02,,0.03,0.06,0.05,0.00,0.03,0.04,1.25,0.05,0.04,0.01,0.04,0.03,"Fruits and Fruit Juices"
2023-09-17,,"Supplements","Coconut Milk","40.00 g",65.00,,,,,,,,,,,,,,,,0.00,0.00,0.00,,,1.00,,,0.00,,,,28.00,,12.50,,1.00,0.00,,,,0.50,1.00,6.50,0.00,,,6.00,0.00,,,,,,,,,,,,,,,,,0.50,,,,,,""
2023-09-17,,"Supplements","Raspberries, Frozen, Unsweetened","110.00 g",61.60,43.01,93.51,0.10,0.11,0.74,0.44,0.07,0.00,74.80,11.00,0.00,13.53,30.80,264.00,0.00,4.03,19.36,0.00,0.83,8.58,26.40,0.10,,0.84,25.30,0.67,33.00,202.40,0.22,4.40,0.34,13.81,4.73,3.56,0.21,0.48,7.19,9.02,0.89,0.00,0.03,0.04,0.07,0.00,0.02,0.02,0.31,0.04,0.04,0.00,0.11,0.02,0.01,,0.01,0.01,0.01,0.01,0.00,0.16,1.27,0.15,0.04,0.01,0.02,0.02,"Fruits and Fruit Juices"
2023-09-17,,"Supplements","Food For Life, Ezekial 4:9 Sesame Bread","1.00 Slice",80.00,,,0.10,,2.00,,0.10,,,,,,18.00,,,,,0.00,,,10.00,,,2.00,26.00,0.80,72.00,83.00,13.00,80.00,2.00,15.00,3.00,,,,0.00,12.00,1.00,0.00,,,0.00,0.00,,,,,,,,,,,,,,,,,5.00,,,,,,"Baked Products"
2023-09-17,,"Supplements","Olive Oil","7.00 g",61.88,0.48,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.00,0.00,0.00,1.00,4.21,0.07,0.00,0.02,0.04,0.00,0.00,0.00,0.07,0.00,0.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,7.00,0.00,5.11,0.74,0.97,0.01,0.05,0.68,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fats and Oils"
2023-09-17,,"Supplements","Rooibos Tea","2.50 cup",0.00,0.00,597.55,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,17.78,0.06,,0.00,5.93,0.00,0.00,0.00,0.00,23.70,0.06,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,""
2023-09-18,9:00 AM,"Staples","Black Pepper, Ground","1.00 tsp",5.77,12.86,0.29,0.00,0.00,0.03,0.03,0.01,0.00,0.28,7.13,0.58,0.26,0.39,10.44,0.46,0.63,0.00,0.00,0.02,3.77,10.19,0.03,,0.22,3.93,0.29,3.63,30.57,0.11,0.46,0.03,1.47,0.58,0.01,0.93,0.00,0.01,0.89,0.07,0.00,0.02,0.02,0.03,0.00,0.00,0.02,0.01,0.01,0.03,0.00,0.03,0.01,0.00,,0.01,0.02,0.01,0.00,0.01,0.03,0.24,0.01,0.01,0.00,0.01,0.01,"Spices and Herbs"
2023-09-18,9:00 AM,"Staples","Turmeric, Ground","1.00 tsp",9.78,63.60,0.40,0.00,0.00,0.04,0.02,0.00,0.00,0.00,0.00,0.00,1.54,0.63,0.00,0.00,0.00,0.02,0.00,0.14,0.42,5.26,0.04,,1.72,6.52,0.62,9.37,65.17,0.19,0.85,0.14,2.10,0.71,0.01,1.29,0.07,0.10,1.39,0.10,0.00,0.01,0.02,0.06,0.00,0.00,0.02,0.01,0.02,0.06,0.00,0.04,0.01,0.00,,0.01,0.03,0.01,0.00,0.02,0.02,0.30,0.01,0.01,0.01,0.01,0.02,"Spices and Herbs"
2023-09-18,,"Staples","Creatine Monohydrate","5.00 g",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,""
2023-09-18,8:18 PM,"Staples","Jarrow Formulas, EPA-DHA Balance","2.00 softgel",20.00,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.00,,,,,0.00,1.20,,,,,,,,,,,,,,,,,,,,,,""
2023-09-18,,"Staples","Mustard Seed","0.50 tsp",5.33,0.29,0.06,0.01,0.00,0.05,0.01,0.00,0.00,0.00,0.19,0.00,1.29,1.70,5.96,0.00,0.02,0.07,0.00,0.05,0.06,2.79,0.01,,0.10,3.89,0.03,8.69,7.75,2.19,0.14,0.06,0.29,0.13,0.00,0.10,0.04,0.07,0.17,0.38,0.00,0.24,0.11,0.02,0.00,0.04,0.06,0.01,0.02,0.03,0.01,0.06,0.02,0.01,,0.01,0.02,0.02,0.01,0.01,0.03,0.27,0.01,0.01,0.00,0.01,0.02,"Spices and Herbs"
2023-09-18,,"Staples","Wasa, Crispbread, Sourdough","3.00 each",122.09,12.00,3.79,0.19,0.12,1.81,0.62,0.12,0.00,0.00,2.48,0.00,11.00,31.00,74.34,0.00,0.21,0.00,0.00,0.30,2.09,8.80,0.13,,0.95,39.35,0.92,122.31,187.73,4.98,134.81,1.00,27.16,5.55,0.04,17.66,0.25,0.35,21.62,0.63,0.00,0.11,0.27,0.08,0.00,0.04,0.23,0.16,0.18,0.23,0.12,0.86,0.16,0.07,,0.09,0.22,0.13,0.06,0.17,0.30,3.96,0.18,0.12,0.04,0.08,0.13,"Snacks"
2023-09-18,,"Staples","Blueberries, Frozen, Unsweetened","0.00 g",0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,"Fruits and Fruit Juices"
2023-09-18,,"Staples","Michaels of Brooklyn, Marinara Sauce","289.00 g",99.21,29.86,262.98,0.12,0.08,1.81,0.33,0.36,0.00,269.22,1458.26,2.11,21.44,51.38,728.17,6847.72,132.83,43.00,0.00,2.37,89.05,88.29,0.22,0.81,1.95,41.15,0.62,84.81,719.24,1.43,667.10,0.68,15.13,4.43,3.71,2.84,0.06,7.21,10.67,4.12,0.00,2.59,0.65,0.59,0.01,0.06,0.37,0.11,0.13,0.45,0.03,1.26,0.09,0.06,,0.09,0.13,0.12,0.03,0.11,0.10,3.32,0.10,0.10,0.03,0.06,0.10,""
2023-09-18,,"Staples","Broccoli, Cooked from Frozen","202.52 g",56.71,8.91,183.73,0.11,0.16,0.93,0.55,0.26,0.00,38.48,1209.04,2.03,32.81,113.41,2217.60,0.00,102.44,81.21,0.00,2.29,178.42,66.83,0.07,1.01,1.24,26.33,0.45,99.23,287.58,1.42,22.28,0.57,10.83,6.08,1.01,1.38,1.01,2.98,4.75,0.24,0.00,0.02,0.11,0.04,0.00,0.09,0.00,0.26,0.33,0.48,0.04,0.84,0.21,0.11,,0.25,0.29,0.32,0.07,0.19,0.26,6.28,0.22,0.20,0.06,0.14,0.29,"Vegetables and Vegetable Products"
2023-09-18,,"Staples","Cauliflower, Cooked from Frozen","101.35 g",19.26,3.34,95.27,0.04,0.05,0.31,0.10,0.09,0.00,0.00,6.08,0.00,33.95,41.55,24.32,0.00,0.51,31.72,0.00,0.06,12.06,17.23,0.02,0.61,0.42,9.12,0.15,24.32,140.88,0.61,18.24,0.13,3.80,2.74,0.34,0.19,0.04,0.78,1.02,0.22,0.00,0.02,0.11,0.03,0.00,0.08,0.00,0.09,0.08,0.19,0.02,0.22,0.05,0.03,,0.06,0.10,0.09,0.02,0.06,0.07,1.63,0.09,0.06,0.02,0.04,0.08,"Vegetables and Vegetable Products"
2023-09-18,,"Staples","Brussels Sprouts, Cooked from Frozen","101.35 g",42.57,6.18,87.91,0.10,0.11,0.54,0.35,0.29,0.00,0.00,562.50,0.00,18.34,102.37,1561.83,0.00,46.88,46.32,0.00,0.52,196.12,26.35,0.03,0.51,0.49,18.24,0.21,56.76,293.92,0.61,15.20,0.24,8.43,4.16,0.79,0.62,0.42,2.11,4.20,0.40,0.00,0.03,0.20,0.08,0.00,0.13,0.00,0.12,0.22,0.35,0.02,0.85,0.09,0.08,,0.14,0.17,0.17,0.04,0.11,0.14,3.69,0.15,0.13,0.04,0.05,0.17,"Vegetables and Vegetable Products"
2023-09-18,,"Staples","Carrots, Cooked From Frozen","101.35 g",37.50,18.65,91.54,0.03,0.04,0.42,0.18,0.09,0.00,3766.22,8309.82,201.69,8.72,11.15,685.14,0.00,857.81,2.33,0.00,0.82,13.78,35.47,0.08,,0.54,11.15,0.17,31.42,194.60,0.61,59.80,0.35,7.83,3.34,0.28,0.31,3.49,4.14,4.26,0.69,0.00,0.03,0.34,0.12,0.00,0.04,0.00,0.07,0.06,0.12,0.05,0.23,0.03,0.03,,0.05,0.06,0.06,0.01,0.04,0.03,0.59,0.03,0.12,0.01,0.03,0.04,"Vegetables and Vegetable Products"
2023-09-18,,"Staples","Kale, Cooked from Frozen","202.52 g",72.91,3.44,181.90,0.13,0.28,0.93,0.34,0.13,0.00,20.25,3505.62,52.66,1.01,131.64,10091.58,0.00,295.17,36.05,0.00,3.26,847.55,303.78,0.14,,1.70,50.63,1.10,85.06,291.63,2.03,32.40,0.55,10.73,4.66,0.85,0.59,0.51,2.45,5.91,2.45,0.00,0.19,1.21,0.32,0.00,0.68,0.52,0.30,0.33,0.53,0.08,0.67,0.29,0.35,,0.36,0.42,0.36,0.06,0.30,0.35,5.95,0.25,0.27,0.07,0.21,0.32,"Vegetables and Vegetable Products"
2023-09-18,,"Staples","Green Bell Peppers, Raw","31.25 g",6.25,3.53,29.34,0.02,0.01,0.15,0.03,0.07,0.00,6.56,65.01,2.19,1.72,3.13,106.58,0.00,5.78,25.13,0.00,0.03,2.22,3.13,0.02,0.13,0.11,3.13,0.04,6.25,54.69,0.00,0.94,0.04,1.45,0.53,0.35,0.00,0.03,0.75,0.90,0.05,0.00,0.00,0.02,0.02,0.00,0.00,0.00,0.01,0.01,0.07,0.00,0.06,0.01,0.00,,0.01,0.01,0.01,0.00,0.03,0.01,0.27,0.02,0.01,0.00,0.00,0.01,"Vegetables and Vegetable Products"
2023-09-18,,"Staples","Yellow Bell Pepper, Raw","31.25 g",8.44,3.53,28.76,0.01,0.01,0.28,0.05,0.05,0.00,40.94,37.50,0.00,1.75,8.13,240.65,0.00,4.83,57.35,0.00,0.12,0.74,3.44,0.03,,0.14,3.75,0.04,7.50,66.26,0.09,0.63,0.05,1.98,0.28,0.96,0.00,0.00,1.63,1.67,0.07,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.01,0.02,0.04,0.01,0.04,0.01,0.01,,0.01,0.02,0.01,0.00,0.01,0.01,0.31,0.01,0.01,0.00,0.01,0.01,"Vegetables and Vegetable Products"
