Date,Energy (kcal),Oxalate (mg),Water (g),B1 (Thiamine) (mg),B2 (Riboflavin) (mg),B3 (Niacin) (mg),B5 (Pantothenic Acid) (mg),B6 (Pyridoxine) (mg),B12 (Cobalamin) (µg),Alpha-carotene (µg),Beta-carotene (µg),Beta-cryptoxanthin (µg),Choline (mg),Folate (µg),Lutein+Zeaxanthin (µg),Lycopene (µg),Vitamin A (µg),Vitamin C (mg),Vitamin D (IU),Vitamin E (mg),Vitamin K (µg),Calcium (mg),Copper (mg),Iodine (µg),Iron (mg),Magnesium (mg),Manganese (mg),Phosphorus (mg),Potassium (mg),Selenium (µg),Sodium (mg),Zinc (mg),Carbs (g),Fiber (g),Fructose (g),Starch (g),Sucrose (g),Sugars (g),Net Carbs (g),Fat (g),Cholesterol (mg),Monounsaturated (g),Polyunsaturated (g),Saturated (g),Trans-Fats (g),Omega-3 (g),Omega-6 (g),Alanine (g),Arginine (g),Aspartic acid (g),Cystine (g),Glutamic acid (g),Glycine (g),Histidine (g),Hydroxyproline (g),Isoleucine (g),Leucine (g),Lysine (g),Methionine (g),Phenylalanine (g),Proline (g),Protein (g),Serine (g),Threonine (g),Tryptophan (g),Tyrosine (g),Valine (g),Completed
2023-09-27,2097.91,169.11,2117.19,1.29,2.37,24.93,6.95,2.31,11.62,1999.05,9287.79,301.88,850.16,692.39,11030.96,4191.72,1132.07,305.65,1296.30,13.27,904.27,1306.43,3.60,76.26,15.29,478.89,8.78,1951.90,3658.54,153.16,2409.93,26.13,257.02,55.25,35.39,67.77,38.83,112.08,200.38,80.24,726.33,16.46,33.84,15.10,0.06,10.01,24.33,6.27,8.10,12.95,1.52,17.99,5.77,2.99,,5.14,8.36,7.87,2.52,5.21,5.16,115.46,5.83,5.19,1.23,3.68,5.81,false
2023-09-28,2330.72,120.64,1667.87,1.07,2.49,23.85,6.50,2.03,11.42,1674.52,8467.37,249.92,815.52,604.16,9050.95,5968.13,1047.21,248.97,1273.10,13.50,752.05,1191.92,2.75,75.63,12.61,377.30,7.19,1726.78,3377.01,147.62,2727.63,24.50,227.04,48.07,26.78,68.17,47.25,99.26,178.01,53.78,723.01,15.64,10.51,14.19,0.06,5.34,5.68,5.70,6.70,11.61,1.38,16.25,4.99,2.69,,4.67,7.55,7.44,2.35,4.70,4.51,116.03,5.20,4.73,1.12,3.36,5.26,false
2023-09-29,2121.61,211.39,2565.39,1.68,2.43,35.18,7.55,3.14,12.98,2905.82,13063.90,386.29,844.26,815.93,14778.92,11375.92,1420.59,438.21,1457.64,18.12,1246.21,1549.85,3.46,53.62,19.25,541.14,7.84,2175.77,5227.25,179.28,3129.53,29.39,215.08,60.98,25.40,58.94,25.16,77.26,152.60,88.39,665.71,31.28,16.91,23.70,0.14,5.94,11.04,7.72,9.46,15.98,1.72,23.06,6.97,4.17,,6.37,10.31,10.43,3.12,6.25,5.94,142.79,6.62,6.43,1.56,4.67,7.20,false
2023-09-30,2303.00,125.64,1585.16,1.15,2.82,22.63,7.96,2.26,13.48,1860.36,8396.34,286.41,1263.36,656.54,10587.11,4908.73,1521.66,230.25,1450.00,13.75,837.97,1280.02,1.79,149.48,14.77,377.48,5.96,1978.40,3142.21,193.98,2909.58,10.31,215.02,43.01,61.82,55.85,13.92,97.80,170.87,73.95,1289.15,19.72,20.67,14.22,0.06,7.05,14.06,6.80,8.25,13.87,1.80,18.75,5.75,3.22,,5.84,9.34,8.91,2.98,5.80,5.23,123.90,6.73,5.76,1.36,4.23,6.54,false
2023-10-01,1942.03,161.56,2185.58,1.12,2.10,23.83,6.66,2.52,11.32,1918.86,8634.07,264.17,837.42,634.32,10178.97,7123.37,1071.48,270.30,1261.50,13.08,852.06,1246.36,2.34,76.55,14.59,446.82,7.53,1821.69,3814.17,145.65,2897.36,9.94,238.78,52.69,45.15,61.77,17.54,109.44,184.89,73.30,721.35,16.21,28.13,14.52,0.06,8.79,19.79,5.85,7.53,12.42,1.41,17.14,5.23,2.88,,4.90,7.93,7.54,2.40,4.94,4.65,108.85,5.49,4.93,1.16,3.49,5.52,false
2023-10-02,2666.56,384.31,2409.70,1.52,2.58,31.90,8.47,3.02,13.79,2397.88,10166.36,307.65,931.26,1073.95,11577.23,5642.81,1230.95,316.24,1551.50,18.03,1001.21,1472.91,3.60,76.49,18.73,573.92,9.57,2270.64,5355.70,172.34,3378.01,27.41,331.87,75.99,56.93,79.89,37.97,155.38,254.53,99.03,762.85,27.17,25.29,29.31,0.10,8.71,16.74,7.24,8.63,14.57,1.68,21.17,6.86,3.37,0.36,5.76,9.34,9.02,2.88,5.81,5.96,134.00,6.45,5.89,1.39,4.15,6.57,false
2023-10-03,2631.47,261.80,1806.46,1.60,2.61,32.31,8.65,3.43,12.63,2788.88,11737.51,314.89,1005.67,839.75,11502.41,11015.06,1367.47,402.10,1237.96,18.50,951.93,1323.50,3.11,76.55,19.97,582.03,9.75,2226.97,5104.94,178.08,2573.41,16.49,312.38,67.81,45.14,67.29,50.73,158.56,243.12,104.60,799.10,30.37,39.59,17.00,0.45,10.88,28.92,8.51,10.17,15.82,1.88,23.34,7.68,3.97,0.23,6.48,10.67,10.28,3.24,6.39,6.76,147.57,7.23,6.42,1.44,4.61,7.33,false
2023-10-04,3360.85,64.01,574.66,0.43,0.61,11.86,2.22,0.91,4.95,588.00,2627.61,62.93,227.04,245.50,2550.44,6434.32,266.10,90.48,580.00,5.12,237.70,522.90,2.11,0.50,6.35,189.60,3.59,797.06,1711.68,53.27,805.95,19.03,125.35,29.97,19.22,45.19,11.26,47.95,94.93,21.88,83.00,5.78,5.55,2.32,0.03,3.51,2.97,2.82,3.69,5.92,0.55,8.52,3.11,1.31,0.36,2.14,3.53,3.61,1.00,2.27,2.47,201.61,2.32,2.19,0.50,1.48,2.38,false
2023-10-05,2094.78,169.97,1985.10,1.19,2.09,23.20,6.79,2.44,10.08,2643.13,11606.57,317.67,837.72,756.74,10936.87,6786.73,1346.61,405.54,1116.50,18.48,931.52,1203.34,2.35,76.79,15.27,441.78,7.53,1752.50,3937.39,136.36,2319.03,9.73,227.13,56.36,37.21,56.84,27.95,99.41,169.16,96.16,700.60,33.51,26.70,21.06,0.09,8.03,19.09,5.91,7.35,11.95,1.37,16.81,5.58,2.75,0.36,4.76,7.64,7.33,2.28,4.80,4.81,107.67,5.39,4.78,1.12,3.37,5.38,false
2023-10-06,2278.64,50.30,549.47,0.44,1.09,3.90,3.85,0.95,1.67,18.75,133.97,15.00,563.10,271.69,681.79,0.00,234.57,100.22,130.59,7.21,17.26,244.14,1.98,74.93,7.61,168.52,3.98,649.44,1368.36,64.93,907.78,19.69,157.08,28.32,24.98,55.97,13.19,64.98,127.85,44.80,559.50,9.47,11.31,14.11,0.05,2.14,10.46,2.32,3.30,4.74,0.82,7.07,2.28,1.12,0.36,1.98,3.31,2.88,0.92,2.27,2.27,96.13,2.65,1.80,0.47,1.37,2.18,false
2023-10-07,1771.66,135.08,1169.39,0.85,1.68,15.02,5.44,2.08,7.11,1717.86,6854.50,197.93,736.82,536.22,7239.64,4653.01,895.05,218.84,768.50,12.07,609.70,850.34,1.98,75.90,11.83,347.75,6.26,1344.22,2932.07,107.34,1740.93,7.82,189.54,43.68,34.30,48.23,16.69,86.99,144.85,84.30,650.80,25.29,28.57,17.08,0.06,7.79,21.50,4.60,6.25,9.55,1.14,13.34,4.45,2.23,0.36,3.82,6.18,5.70,1.81,3.93,3.84,85.77,4.47,3.75,0.88,2.66,4.29,false
2023-10-08,444.00,,212.13,0.08,0.61,22.23,1.69,0.32,14.85,,,,263.40,12.00,,,60.00,,1740.00,3.84,0.30,849.00,0.25,,2.31,96.00,0.09,1137.00,999.00,118.50,1143.00,2.88,,,,,,,,18.06,249.00,3.63,4.52,2.69,0.08,5.46,0.30,4.42,4.35,8.70,0.54,9.80,4.26,1.83,,3.22,5.28,5.94,1.95,2.85,2.93,69.30,3.06,3.60,0.75,2.51,3.71,false
2023-10-09,2149.89,156.97,1773.57,1.48,2.20,24.13,6.99,2.86,8.15,2732.39,11975.20,323.12,829.02,1089.74,11257.11,7504.11,1373.47,382.57,890.41,21.25,966.87,1099.79,3.20,76.65,20.93,492.24,8.13,1840.01,4550.33,138.23,2350.47,28.06,300.06,65.96,54.54,69.90,28.43,136.84,232.62,71.71,668.23,19.72,19.45,18.74,0.11,4.91,14.90,5.44,6.73,11.09,1.33,16.03,5.08,2.63,0.36,4.46,7.13,6.88,2.05,4.61,4.54,106.93,5.07,4.40,1.04,3.09,5.00,false
2023-10-10,3295.29,93.08,905.18,0.53,0.76,13.39,2.73,1.40,5.54,1339.59,6166.12,155.95,269.62,409.53,5233.39,3750.13,598.57,182.92,649.60,7.82,475.99,702.00,1.61,1.10,8.25,245.53,4.56,928.02,2133.69,59.09,930.33,5.20,289.77,34.65,99.13,36.87,23.46,216.80,253.61,34.19,92.96,6.28,15.48,3.54,0.03,5.75,10.57,3.34,4.51,6.96,0.59,9.60,3.55,1.57,0.36,2.58,4.16,4.16,1.14,2.65,2.93,130.32,2.75,2.61,0.60,1.76,2.87,false
2023-10-11,1882.30,294.63,1641.00,0.91,2.05,27.23,6.67,2.66,14.04,1266.02,5347.77,131.27,876.21,533.13,5418.52,7025.34,775.88,269.71,1580.50,13.23,488.19,1270.14,3.38,76.84,18.02,438.02,8.61,1889.22,4188.08,163.28,2235.92,24.39,214.04,53.37,35.74,52.75,18.66,91.49,159.52,72.77,767.00,17.11,29.29,11.44,0.08,9.46,20.30,6.64,8.23,13.89,1.36,18.04,6.43,3.09,0.36,5.28,8.65,8.40,2.70,5.25,5.14,117.67,5.85,5.37,1.23,3.81,6.00,false
2023-10-12,2041.63,266.02,2072.04,1.21,2.33,28.13,7.54,3.29,12.51,2772.89,12510.94,328.09,913.16,839.01,11285.42,8215.17,1437.61,498.22,1400.70,17.59,969.98,1409.55,2.81,77.80,18.68,521.41,9.05,1962.67,5068.74,154.58,2286.23,10.34,251.48,64.30,43.15,50.90,36.47,117.77,185.31,75.98,741.27,17.74,31.38,11.78,0.07,9.83,21.84,6.77,8.38,13.95,1.40,18.69,6.38,3.20,0.36,5.41,8.70,8.42,2.61,5.37,5.22,120.84,5.99,5.46,1.27,3.83,6.14,false
2023-10-13,1903.14,270.32,1851.29,1.15,2.29,27.28,7.51,3.32,12.70,2804.71,12019.06,321.94,904.48,790.43,11246.86,7856.94,1398.49,405.55,1423.90,16.47,945.17,1375.25,3.52,77.13,17.10,501.41,8.36,1920.41,4904.66,155.40,2263.74,24.87,234.33,59.87,37.43,54.51,33.68,105.10,173.12,67.34,744.59,16.45,24.98,11.01,0.07,8.56,16.71,6.83,8.12,13.66,1.37,18.35,6.30,3.20,0.36,5.35,8.58,8.41,2.60,5.30,5.23,119.43,5.96,5.42,1.25,3.79,6.08,false
2023-10-14,1884.96,244.34,1924.85,1.16,2.75,18.63,8.49,2.92,8.77,2702.13,11617.23,329.22,1234.24,812.89,11615.66,7662.59,1560.43,425.90,899.00,16.35,952.07,1127.39,2.26,151.13,18.26,441.16,8.05,1709.20,4323.60,156.17,1999.65,10.04,220.20,59.11,35.37,47.81,27.38,97.65,159.55,74.04,1210.30,20.68,23.28,14.42,0.04,6.92,16.82,5.97,7.45,12.14,1.60,16.79,5.26,2.84,0.36,5.10,8.09,7.43,2.43,5.14,4.74,109.95,6.04,4.89,1.17,3.59,5.73,false
2023-10-15,2006.80,270.92,2113.77,1.22,2.17,31.37,7.04,3.10,13.98,2942.19,13693.65,352.32,808.26,874.01,11793.78,8388.51,1478.44,574.38,1595.00,18.47,1019.89,1542.71,2.94,53.45,19.25,534.85,9.23,2057.01,5170.60,156.58,2404.56,10.43,243.56,64.35,41.03,46.64,40.54,114.66,176.97,73.93,588.80,16.52,32.15,10.62,0.08,10.46,21.88,7.12,8.68,14.67,1.34,19.42,6.81,3.30,0.36,5.57,8.96,8.88,2.69,5.47,5.44,125.24,6.01,5.72,1.31,3.97,6.33,false
2023-10-16,2252.98,366.00,2427.63,1.70,6.60,50.31,16.34,4.84,107.10,3364.09,15791.67,395.58,1064.33,1343.15,12917.50,9848.76,14888.22,691.77,875.78,20.10,1134.00,1279.77,24.64,4.74,29.30,616.28,11.56,2291.97,6090.22,135.15,1810.77,32.11,305.16,78.15,54.89,56.92,50.50,147.57,224.40,73.56,677.69,14.42,34.86,11.39,0.57,9.91,25.30,7.70,9.06,14.33,1.63,20.12,7.22,3.67,0.36,5.71,9.87,9.04,2.65,6.01,6.12,132.93,6.09,5.64,1.45,4.21,6.84,false
2023-10-17,2098.93,327.44,2099.72,1.51,6.73,52.50,16.33,4.62,115.03,2859.57,12595.97,319.09,1096.29,1176.59,10905.21,9625.09,15361.13,523.43,1146.50,17.24,968.41,1287.20,24.33,4.18,27.90,562.47,10.41,2377.13,5567.12,152.41,1948.93,16.96,262.49,68.33,43.54,58.66,34.70,115.31,192.24,69.30,747.55,13.86,31.43,11.26,0.61,9.49,22.27,8.02,9.45,15.25,1.70,20.99,7.75,3.88,0.36,6.06,10.53,9.79,2.95,6.34,6.38,139.60,6.33,6.03,1.52,4.51,7.25,false
2023-10-18,2023.35,240.63,1642.92,1.33,6.18,46.96,15.05,4.48,110.32,1627.25,8950.73,195.71,1001.71,1012.61,5984.55,8732.93,14616.14,359.45,924.14,13.89,568.00,987.26,24.73,2.79,23.88,506.70,8.69,2123.01,4833.61,136.29,1667.04,30.59,246.81,55.61,42.42,61.65,43.50,119.03,189.79,72.96,700.17,14.41,35.80,11.39,0.58,11.29,25.11,6.92,8.76,13.58,1.58,18.95,7.06,3.51,0.36,5.42,9.58,8.73,2.65,5.79,5.64,124.64,5.60,5.30,1.38,3.99,6.53,false
2023-10-19,2100.39,297.16,2124.41,1.60,5.75,46.93,14.14,4.53,94.52,3418.24,14808.75,382.51,975.58,1137.94,13228.66,11259.79,12928.62,501.93,1045.78,18.43,1195.34,1322.15,20.33,4.26,26.02,581.09,10.06,2264.21,5499.91,138.41,2046.62,15.70,258.46,70.75,41.64,58.15,31.39,110.16,185.06,75.81,624.22,18.74,33.25,11.44,0.51,11.27,22.21,7.19,9.01,14.46,1.60,20.37,7.27,3.66,0.36,5.74,9.80,9.09,2.70,5.99,5.87,131.51,5.86,5.67,1.42,4.17,6.81,false
2023-10-20,2025.31,286.49,2146.23,1.65,6.67,48.46,15.82,4.61,111.73,3735.30,16179.48,494.30,1059.38,1240.98,15144.11,8472.51,15598.47,592.59,832.81,17.92,1339.24,1243.29,25.14,169.46,28.29,559.49,10.31,2269.59,5222.66,132.78,1656.22,31.86,247.92,72.71,39.34,53.74,29.12,103.47,173.35,71.20,698.77,13.52,34.73,11.08,0.59,11.34,23.72,7.15,9.11,14.25,1.70,20.08,7.25,3.67,0.36,5.80,9.94,9.01,2.69,6.09,5.99,132.58,5.90,5.62,1.45,4.21,6.90,false
2023-10-21,2082.21,243.04,2018.20,1.38,5.04,42.88,12.80,4.58,80.73,2506.63,11840.62,393.65,871.41,991.54,10445.52,8261.92,10759.12,535.24,1064.98,16.55,936.68,1179.30,17.43,169.45,24.01,534.94,9.47,2103.26,5299.27,133.36,1697.24,14.08,272.45,67.40,48.41,61.83,34.59,126.29,203.45,70.62,549.17,13.55,34.72,10.16,0.43,11.67,23.50,6.79,8.67,13.89,1.48,19.06,6.93,3.45,0.36,5.36,9.16,8.53,2.57,5.58,5.61,124.46,5.53,5.29,1.35,3.84,6.33,false
2023-10-22,2011.47,241.94,1859.99,1.27,5.16,43.60,12.90,4.28,87.64,1559.59,7947.31,218.22,881.31,875.79,6251.83,9950.39,11330.11,414.74,1052.48,14.46,603.39,1063.56,18.71,168.93,24.03,500.68,9.50,2043.62,5005.05,135.13,1846.10,14.03,259.31,61.50,46.83,61.83,30.56,119.81,196.35,68.49,586.28,13.94,32.59,10.18,0.47,11.02,22.11,6.60,8.40,13.50,1.45,18.57,6.81,3.32,0.36,5.17,9.00,8.35,2.55,5.45,5.42,120.44,5.35,5.12,1.31,3.77,6.15,false
2023-10-23,2412.93,262.76,2381.65,1.52,4.98,49.99,12.95,4.51,78.18,2570.79,13609.54,428.01,929.41,1070.39,10977.35,8435.36,9986.04,621.76,1587.88,21.61,1017.55,1497.64,16.42,169.12,25.31,575.44,10.56,2458.68,5657.17,167.29,2057.34,14.90,305.32,75.09,61.65,55.49,46.89,159.02,227.25,85.70,585.10,19.27,40.12,11.98,0.42,13.73,26.66,8.21,10.04,16.51,1.60,22.08,8.21,3.91,0.36,6.32,10.68,10.26,3.13,6.39,6.51,145.52,6.47,6.38,1.58,4.57,7.43,false
2023-10-24,2003.86,242.72,2177.15,1.57,5.38,44.57,13.49,4.56,85.98,3317.87,16047.61,535.84,919.74,1140.82,13886.51,10566.62,11902.07,688.11,1022.50,19.34,1212.15,1286.05,18.54,170.00,25.97,552.52,9.35,2185.96,5531.98,135.46,1907.92,14.80,266.16,70.28,44.35,57.05,40.37,120.46,187.95,63.69,574.21,13.40,28.84,9.73,0.46,11.98,17.15,7.02,8.69,14.22,1.54,19.89,7.08,3.51,0.36,5.56,9.36,8.84,2.62,5.74,5.80,128.58,5.66,5.46,1.42,3.97,6.56,false
2023-10-25,2343.54,298.15,1932.08,1.42,4.55,42.27,11.58,3.79,73.25,2149.71,10415.27,342.44,825.39,919.28,9326.93,7601.18,9495.98,484.76,1175.10,17.62,858.13,1258.39,15.72,168.74,24.13,533.72,10.76,2119.18,4800.78,137.08,1698.94,13.66,252.81,70.32,46.26,52.97,28.50,116.76,180.46,74.42,518.25,17.08,34.57,10.31,0.40,13.23,21.81,6.85,8.57,13.97,1.43,18.84,6.95,3.30,0.36,5.31,9.01,8.51,2.59,5.47,5.57,123.93,5.48,5.30,1.33,3.84,6.25,false
2023-10-26,2939.11,625.44,2123.03,2.32,4.84,46.35,12.89,3.62,69.73,1991.02,10979.84,348.10,970.54,1067.28,9298.09,4827.21,9136.88,434.42,1077.14,20.80,862.66,1179.20,14.57,167.76,27.51,492.07,10.82,2225.65,4425.53,218.73,2156.94,13.81,392.85,79.68,38.31,209.93,33.11,100.64,310.62,97.17,676.61,26.93,41.26,15.94,0.61,10.95,30.55,8.55,10.48,15.92,2.09,27.12,8.90,4.02,0.36,6.63,11.39,10.24,3.21,6.96,8.25,157.21,7.22,6.37,1.80,4.73,7.81,false
2023-10-27,2979.61,363.67,2090.17,1.88,8.65,44.07,13.35,4.62,71.16,3413.47,15899.66,607.34,825.51,1161.21,14722.47,9804.70,9540.30,674.57,1027.65,22.06,1286.49,1354.85,15.31,169.56,28.53,594.92,12.71,2214.10,5503.76,136.80,2093.32,14.97,415.36,85.62,43.32,66.27,119.18,209.58,327.93,107.83,477.70,22.49,39.02,13.26,1.09,12.16,26.24,7.27,9.00,14.51,1.57,20.63,7.12,3.55,0.36,5.60,9.40,8.81,2.58,5.79,6.04,135.41,5.87,5.63,1.40,4.00,6.57,false
2023-10-28,1772.13,267.76,1753.74,1.40,5.90,41.89,11.65,3.76,75.80,2913.78,13611.07,1631.66,823.18,878.52,11301.83,8955.41,10037.42,389.16,1205.08,16.88,963.04,1270.28,15.53,168.43,23.93,484.95,8.90,2082.38,4512.70,136.62,1882.79,13.31,204.02,62.48,29.64,50.53,16.97,76.32,140.35,63.15,530.32,12.83,28.85,9.17,0.40,10.65,18.55,6.87,8.55,13.93,1.44,19.16,6.99,3.37,0.36,5.43,9.16,8.71,2.63,5.56,5.60,124.66,5.51,5.44,1.33,3.94,6.35,false
2023-10-29,1973.42,313.17,2165.17,1.66,6.09,45.70,12.56,4.25,75.94,4237.63,18460.11,2676.10,882.21,1068.58,13461.63,11444.36,10449.32,474.70,1303.19,19.11,1215.57,1502.16,15.74,169.03,26.71,584.85,10.39,2279.88,5542.92,148.11,2240.63,14.38,248.63,71.56,36.95,55.01,29.70,99.82,171.40,63.78,540.47,14.06,27.54,9.46,0.40,10.75,16.91,7.45,9.06,15.00,1.52,20.91,7.46,3.65,0.36,5.87,9.81,9.44,2.79,5.99,5.96,134.49,5.94,5.91,1.43,4.26,6.87,false
2023-10-30,1775.65,298.69,1680.31,1.40,5.55,40.78,11.12,3.61,70.40,3028.54,13570.05,1998.61,793.47,892.77,9427.12,8463.09,9300.84,364.98,1230.16,15.14,850.93,1306.03,14.56,168.04,25.05,575.74,9.50,2064.40,4852.37,137.14,2872.17,13.05,204.98,58.73,27.89,52.09,28.38,80.21,144.79,63.16,502.79,13.19,28.91,9.04,0.37,10.68,18.60,6.87,8.49,13.78,1.39,18.92,6.95,3.33,0.36,5.37,9.05,8.69,2.59,5.50,5.47,123.08,5.48,5.41,1.31,3.91,6.28,false
2023-10-31,1699.42,246.36,1421.04,1.26,7.07,45.11,14.00,3.63,106.39,1675.50,8575.26,1068.19,943.45,875.82,5328.11,7788.97,13871.98,285.98,1007.22,12.43,500.58,1004.23,22.03,167.34,25.11,554.86,8.55,2026.03,4417.96,137.44,3644.33,14.51,184.97,49.19,26.14,51.97,27.28,74.84,134.42,61.23,680.94,12.66,27.70,9.91,0.56,9.77,18.55,6.80,8.40,13.32,1.52,18.34,6.95,3.33,0.36,5.32,9.33,8.68,2.65,5.61,5.51,121.61,5.43,5.25,1.33,3.97,6.35,false
